1,139.81;610.07;619.51;46.785;4.948;29.172;75.856;34.202;34.202;
2,139.81;610.07;619.51;46.785;4.948;29.172;75.856;34.202;34.202;
3,139.81;610.07;619.51;46.785;4.948;29.172;75.856;34.202;34.202;
4,140.27;610.72;619.37;46.809;4.951;29.187;75.895;34.204;34.204;
5,140.27;610.72;619.37;46.809;4.951;29.187;75.895;34.204;34.204;
6,140.27;610.72;619.37;46.809;4.951;29.187;75.895;34.204;34.204;
7,140.27;610.72;619.37;46.809;4.951;29.187;75.895;34.204;34.204;
8,140.73;611.37;619.22;46.833;4.953;29.202;75.934;34.206;34.206;
9,140.73;611.37;619.22;46.833;4.953;29.202;75.934;34.206;34.206;
10,140.73;611.37;619.22;46.833;4.953;29.202;75.934;34.206;34.206;
11,140.73;611.37;619.22;46.833;4.953;29.202;75.934;34.206;34.206;
12,141.19;612.02;619.08;46.857;4.956;29.217;75.973;34.208;34.208;
13,141.19;612.02;619.08;46.857;4.956;29.217;75.973;34.208;34.208;
14,141.19;612.02;619.08;46.857;4.956;29.217;75.973;34.208;34.208;
15,141.19;612.02;619.08;46.857;4.956;29.217;75.973;34.208;34.208;
16,141.65;612.66;618.94;46.881;4.958;29.232;76.011;34.210;34.210;
17,141.65;612.66;618.94;46.881;4.958;29.232;76.011;34.210;34.210;
18,141.65;612.66;618.94;46.881;4.958;29.232;76.011;34.210;34.210;
19,141.65;612.66;618.94;46.881;4.958;29.232;76.011;34.210;34.210;
20,142.11;613.31;618.79;46.905;4.961;29.247;76.050;34.212;34.212;
21,142.11;613.31;618.79;46.905;4.961;29.247;76.050;34.212;34.212;
22,142.11;613.31;618.79;46.905;4.961;29.247;76.050;34.212;34.212;
23,142.11;613.31;618.79;46.905;4.961;29.247;76.050;34.212;34.212;
24,142.57;613.96;618.65;46.929;4.963;29.262;76.089;34.214;34.214;
25,142.57;613.96;618.65;46.929;4.963;29.262;76.089;34.214;34.214;
26,142.57;613.96;618.65;46.929;4.963;29.262;76.089;34.214;34.214;
27,142.57;613.96;618.65;46.929;4.963;29.262;76.089;34.214;34.214;
28,143.02;614.61;618.51;46.953;4.966;29.277;76.128;34.217;34.217;
29,143.02;614.61;618.51;46.953;4.966;29.277;76.128;34.217;34.217;
30,143.02;614.61;618.51;46.953;4.966;29.277;76.128;34.217;34.217;
31,143.02;614.61;618.51;46.953;4.966;29.277;76.128;34.217;34.217;
32,143.48;615.25;618.36;46.977;4.969;29.292;76.167;34.219;34.219;
33,143.48;615.25;618.36;46.977;4.969;29.292;76.167;34.219;34.219;
34,143.48;615.25;618.36;46.977;4.969;29.292;76.167;34.219;34.219;
35,143.48;615.25;618.36;46.977;4.969;29.292;76.167;34.219;34.219;
36,143.94;615.90;618.22;47.001;4.971;29.307;76.206;34.221;34.221;
37,143.94;615.90;618.22;47.001;4.971;29.307;76.206;34.221;34.221;
38,143.94;615.90;618.22;47.001;4.971;29.307;76.206;34.221;34.221;
39,143.94;615.90;618.22;47.001;4.971;29.307;76.206;34.221;34.221;
40,144.40;616.55;618.07;47.025;4.974;29.322;76.245;34.223;34.223;
41,144.40;616.55;618.07;47.025;4.974;29.322;76.245;34.223;34.223;
42,144.40;616.55;618.07;47.025;4.974;29.322;76.245;34.223;34.223;
43,144.40;616.55;618.07;47.025;4.974;29.322;76.245;34.223;34.223;
44,144.85;617.20;617.93;47.049;4.976;29.337;76.284;34.225;34.225;
